PC1,CODIGO_CLIENTE
-0.990049675,79561757
-0.990049675,48515417
-0.990049675,75290452
-0.990049675,57801775
-0.990049675,48244671
-0.990049675,73560577
-0.990049675,42188013
-0.990049675,85252076
-0.990049675,72592764
-0.990049675,35109956
0.230415029,642786
1.095315946,73075320
5.437685231,88063830
1.095315946,20430945
-0.990049675,78560076
-0.990049675,9681695
-0.990049675,13396041
-0.990049675,80648274
-0.990049675,61012723
-0.990049675,36809612
5.437685231,69491975
-0.990049675,56735586
1.095315946,67126195
1.095315946,74083085
-0.990049675,80969926
-0.990049675,6677056
-0.990049675,9124416
1.095315946,6900703
-0.990049675,14589421
-0.990049675,69716875
-0.990049675,85895542
-0.990049675,51577277
-0.990049675,39020013
-0.990049675,84632154
1.095315946,43741706
-0.990049675,89488894
-0.990049675,33690687
-0.990049675,4039197
-0.990049675,57092828
-0.990049675,83922580
5.437685231,84079209
-0.990049675,81810354
-0.990049675,37932056
-0.990049675,71738945
-0.990049675,55871500
1.095315946,35004667
-0.990049675,15232497
-0.990049675,63560297
-0.990049675,43836740
-0.990049675,34176224
1.095315946,95580425
-0.990049675,70079631
-0.990049675,42177324
-0.990049675,84128572
5.437685231,77685904
1.095315946,17016021
-0.990049675,20026434
-0.990049675,96139007
-0.990049675,82191267
-0.990049675,94122797
-0.990049675,33942292
-0.990049675,18875951
1.095315946,93086129
-0.990049675,69628047
5.437685231,83158013
-0.990049675,63936009
5.508139685,40693261
-0.990049675,43712328
1.095315946,51036102
1.095315946,8208973
-0.990049675,69711869
-0.990049675,76884946
-0.990049675,16411455
5.508139685,66449090
1.095315946,52452480
-0.990049675,17796841
1.095315946,42956797
-0.990049675,80588442
-0.990049675,42462784
-0.990049675,82631367
5.437685231,68505657
-0.990049675,55164360
-0.990049675,83391800
-0.990049675,5855557
5.508139685,49519461
-0.990049675,33661883
1.095315946,28178107
1.095315946,72994509
-0.990049675,38040011
-0.990049675,75878145
1.095315946,47674699
1.095315946,9877912
5.508139685,91826171
-0.990049675,71388188
-0.990049675,80159837
1.095315946,78387163
3.35231961,43207965
-0.990049675,15555868
-0.990049675,85929054
1.095315946,54898930
-0.990049675,14248477
-0.990049675,90557690
-0.990049675,40843625
1.095315946,43160695
-0.990049675,93003860
-0.990049675,22394501
1.095315946,16732720
-0.990049675,84230310
-0.990049675,76148176
5.437685231,10857095
-0.990049675,77210105
-0.990049675,23363795
-0.990049675,15940697
1.095315946,98845026
-0.990049675,18788512
-0.990049675,67336410
5.508139685,23843236
-0.990049675,38519469
-0.990049675,78088637
1.095315946,88916000
-0.990049675,27364941
-0.990049675,36136235
1.095315946,2205497
